district,avg_age,voter_count,CONSTITUTION,CONSTITUTION_%,DEMOCRAT,DEMOCRAT_%,INDEPENDENT,INDEPENDENT_%,LIBERTARIAN,LIBERTARIAN_%,NONAFFILIATED,NONAFFILIATED_%,OTHER,OTHER_%,PACIFIC_GREEN,PACIFIC_GREEN_%,PROGRESSIVE,PROGRESSIVE_%,REPUBLICAN,REPUBLICAN_%,WORKING_FAMILIES PARTY_OF_OREGON,WORKING_FAMILIES_PARTY_%
CULVER SCHOOL DISTRICT 4,53.71,3294,2,0.06%,592,17.97%,198,6.01%,16,0.49%,1143,34.70%,25,0.76%,2,0.06%,3,0.09%,1305,39.62%,8,0.24%
DALLAS SCHOOL DISTRICT 2,52.19,18532,40,0.22%,4475,24.15%,903,4.87%,123,0.66%,6141,33.14%,50,0.27%,39,0.21%,14,0.08%,6715,36.23%,32,0.17%
DAVID DOUGLAS SCHOOL DISTRICT 40,46.77,50075,88,0.18%,19553,39.05%,1735,3.46%,326,0.65%,20227,40.39%,529,1.06%,206,0.41%,75,0.15%,6806,13.59%,530,1.06%
DAYS CREEK SCHOOL DISTRICT 15,55.3,1144,1,0.09%,213,18.62%,59,5.16%,7,0.61%,441,38.55%,8,0.70%,,0.00%,2,0.17%,412,36.01%,1,0.09%
DAYTON SCHOOL DISTRICT 8,49.26,3900,5,0.13%,1078,27.64%,134,3.44%,29,0.74%,1369,35.10%,23,0.59%,12,0.31%,,0.00%,1240,31.79%,10,0.26%
DAYVILLE SCHOOL DISTRICT 16J,55.6,368,1,0.27%,52,14.13%,27,7.34%,2,0.54%,123,33.42%,2,0.54%,,0.00%,,0.00%,161,43.75%,,0.00%
DIAMOND SCHOOL DISTRICT 7,51.73,64,,0.00%,4,6.25%,1,1.56%,,0.00%,6,9.38%,,0.00%,,0.00%,1,1.56%,52,81.25%,,0.00%
DOUBLE O SCHOOL DISTRICT 28,50.25,28,,0.00%,3,10.71%,,0.00%,,0.00%,12,42.86%,,0.00%,,0.00%,,0.00%,13,46.43%,,0.00%
DREWSEY SCHOOL DISTRICT 13,54.48,114,,0.00%,5,4.39%,4,3.51%,,0.00%,18,15.79%,,0.00%,,0.00%,,0.00%,87,76.32%,,0.00%
DUFUR SCHOOL DISTRICT 29,52.5,1507,9,0.60%,327,21.70%,80,5.31%,12,0.80%,503,33.38%,8,0.53%,3,0.20%,1,0.07%,562,37.29%,2,0.13%
EAGLE POINT SCHOOL DISTRICT 9,50.55,23996,54,0.23%,4250,17.71%,1210,5.04%,200,0.83%,9552,39.81%,174,0.73%,42,0.18%,10,0.04%,8430,35.13%,74,0.31%
ECHO SCHOOL DISTRICT 5,50.1,733,4,0.55%,115,15.69%,22,3.00%,7,0.95%,268,36.56%,6,0.82%,1,0.14%,1,0.14%,303,41.34%,6,0.82%
ELGIN SCHOOL DISTRICT 23,54.16,2246,7,0.31%,326,14.51%,103,4.59%,12,0.53%,735,32.72%,26,1.16%,4,0.18%,,0.00%,1025,45.64%,8,0.36%
ELKTON SCHOOL DISTRICT 34,58.92,1198,2,0.17%,296,24.71%,56,4.67%,6,0.50%,380,31.72%,4,0.33%,4,0.33%,,0.00%,449,37.48%,1,0.08%
ENTERPRISE SCHOOL DISTRICT 21,54.66,2904,5,0.17%,587,20.21%,129,4.44%,19,0.65%,832,28.65%,15,0.52%,6,0.21%,1,0.03%,1306,44.97%,4,0.14%
ESTACADA SCHOOL DISTRICT 108,49.88,12910,33,0.26%,3393,26.28%,586,4.54%,103,0.80%,4791,37.11%,135,1.05%,35,0.27%,8,0.06%,3776,29.25%,50,0.39%
EUGENE SCHOOL DISTRICT 4J,47.04,140893,115,0.08%,65833,46.73%,5861,4.16%,1087,0.77%,43654,30.98%,1067,0.76%,734,0.52%,206,0.15%,21965,15.59%,371,0.26%
FALLS CITY SCHOOL DISTRICT 57,51.24,1097,5,0.46%,263,23.97%,56,5.10%,13,1.19%,469,42.75%,3,0.27%,6,0.55%,,0.00%,281,25.62%,1,0.09%
FERN RIDGE SCHOOL DISTRICT 28J,51.28,10639,34,0.32%,3035,28.53%,508,4.77%,81,0.76%,3606,33.89%,101,0.95%,33,0.31%,7,0.07%,3214,30.21%,20,0.19%
FOREST GROVE SCHOOL DISTRICT 15,47.71,25767,49,0.19%,8095,31.42%,1054,4.09%,189,0.73%,9946,38.60%,80,0.31%,64,0.25%,8,0.03%,6186,24.01%,96,0.37%
FOSSIL SCHOOL DISTRICT 21J,58.71,629,,0.00%,165,26.23%,25,3.97%,3,0.48%,172,27.34%,10,1.59%,2,0.32%,,0.00%,252,40.06%,,0.00%
FRENCHGLEN SCHOOL DISTRICT 16,46.38,64,1,1.56%,4,6.25%,2,3.13%,,0.00%,17,26.56%,,0.00%,,0.00%,,0.00%,40,62.50%,,0.00%
GASTON SCHOOL DISTRICT 511J,50.52,2598,6,0.23%,683,26.29%,109,4.20%,40,1.54%,953,36.68%,16,0.62%,6,0.23%,,0.00%,780,30.02%,5,0.19%
GERVAIS SCHOOL DISTRICT 1,47.53,4040,6,0.15%,858,21.24%,130,3.22%,28,0.69%,1617,40.02%,17,0.42%,5,0.12%,2,0.05%,1373,33.99%,4,0.10%
GLADSTONE SCHOOL DISTRICT 115,48.99,9833,13,0.13%,3423,34.81%,491,4.99%,72,0.73%,3372,34.29%,92,0.94%,23,0.23%,10,0.10%,2290,23.29%,47,0.48%
GLENDALE SCHOOL DISTRICT 77,54.31,2548,5,0.20%,462,18.13%,122,4.79%,20,0.78%,1024,40.19%,26,1.02%,5,0.20%,3,0.12%,871,34.18%,10,0.39%
GLIDE SCHOOL DISTRICT 12,53.41,5536,14,0.25%,1107,20.00%,271,4.90%,44,0.79%,1892,34.18%,45,0.81%,13,0.23%,1,0.02%,2136,38.58%,13,0.23%
GRANTS PASS SCHOOL DISTRICT 7,51.2,32355,79,0.24%,7034,21.74%,1763,5.45%,255,0.79%,12264,37.90%,298,0.92%,82,0.25%,13,0.04%,10499,32.45%,68,0.21%
GREATER ALBANY SCHOOL DISTRICT 8J,49.24,54174,73,0.13%,15364,28.36%,2615,4.83%,429,0.79%,18969,35.01%,326,0.60%,123,0.23%,35,0.06%,16135,29.78%,105,0.19%
GRESHAM-BARLOW SCHOOL DISTRICT 1J,48.5,64518,79,0.12%,20490,31.76%,2865,4.44%,483,0.75%,23197,35.95%,668,1.04%,169,0.26%,63,0.10%,16107,24.97%,397,0.62%
HARNEY COUNTY SCHOOL DISTRICT 3,52.93,5290,14,0.26%,977,18.47%,253,4.78%,42,0.79%,1744,32.97%,16,0.30%,8,0.15%,4,0.08%,2223,42.02%,9,0.17%
HARNEY COUNTY SCHOOL DISTRICT 4,53.1,671,2,0.30%,83,12.37%,24,3.58%,3,0.45%,181,26.97%,2,0.30%,,0.00%,,0.00%,375,55.89%,1,0.15%
HARPER SCHOOL DISTRICT 66,50.87,209,1,0.48%,13,6.22%,4,1.91%,,0.00%,65,31.10%,,0.00%,,0.00%,,0.00%,126,60.29%,,0.00%
HARRISBURG SCHOOL DISTRICT 7J,48.91,4135,8,0.19%,807,19.52%,220,5.32%,36,0.87%,1498,36.23%,26,0.63%,4,0.10%,,0.00%,1529,36.98%,7,0.17%
HELIX SCHOOL DISTRICT 1,50.71,335,,0.00%,55,16.42%,19,5.67%,3,0.90%,80,23.88%,4,1.19%,,0.00%,,0.00%,173,51.64%,1,0.30%
HERMISTON SCHOOL DISTRICT 8,47.07,18260,29,0.16%,3533,19.35%,746,4.09%,139,0.76%,8312,45.52%,168,0.92%,12,0.07%,7,0.04%,5244,28.72%,70,0.38%
HILLSBORO SCHOOL DISTRICT 1J,46.77,95325,112,0.12%,31676,33.23%,3834,4.02%,842,0.88%,36919,38.73%,280,0.29%,218,0.23%,76,0.08%,21082,22.12%,286,0.30%
HOOD RIVER COUNTY SCHOOL DISTRICT 1,49.87,5643,2,0.04%,2173,38.51%,240,4.25%,30,0.53%,1979,35.07%,27,0.48%,28,0.50%,4,0.07%,1152,20.41%,8,0.14%
HUNTINGTON SCHOOL DISTRICT 16J,56.29,533,2,0.38%,92,17.26%,32,6.00%,3,0.56%,274,51.41%,4,0.75%,4,0.75%,,0.00%,119,22.33%,3,0.56%
IMBLER SCHOOL DISTRICT 11,53.16,1295,1,0.08%,191,14.75%,49,3.78%,6,0.46%,299,23.09%,10,0.77%,1,0.08%,,0.00%,738,56.99%,,0.00%
IONE SCHOOL DISTRICT 2,53,506,,0.00%,97,19.17%,22,4.35%,2,0.40%,127,25.10%,2,0.40%,,0.00%,,0.00%,256,50.59%,,0.00%
JEFFERSON COUNTY SCHOOL DISTRICT 509J,48.81,10976,18,0.16%,2341,21.33%,445,4.05%,79,0.72%,5068,46.17%,123,1.12%,23,0.21%,2,0.02%,2834,25.82%,43,0.39%
JEFFERSON SCHOOL DISTRICT 14J,50.41,5012,9,0.18%,1077,21.49%,246,4.91%,39,0.78%,1815,36.21%,41,0.82%,7,0.14%,2,0.04%,1762,35.16%,14,0.28%
JEWELL SCHOOL DISTRICT 8,52.29,918,,0.00%,265,28.87%,38,4.14%,7,0.76%,333,36.27%,4,0.44%,7,0.76%,,0.00%,260,28.32%,4,0.44%
JOHN DAY SCHOOL DISTRICT 3,55.76,4368,12,0.27%,749,17.15%,220,5.04%,14,0.32%,1340,30.68%,13,0.30%,5,0.11%,1,0.02%,2007,45.95%,7,0.16%
JORDAN VALLEY SCHOOL DISTRICT 3,54.09,311,1,0.32%,18,5.79%,10,3.22%,1,0.32%,95,30.55%,1,0.32%,,0.00%,,0.00%,184,59.16%,1,0.32%
JOSEPH SCHOOL DISTRICT 6,58.18,2130,3,0.14%,476,22.35%,96,4.51%,11,0.52%,598,28.08%,12,0.56%,3,0.14%,,0.00%,928,43.57%,3,0.14%
JUNCTION CITY SCHOOL DISTRICT 69,51.51,11013,22,0.20%,2827,25.67%,537,4.88%,73,0.66%,3722,33.80%,92,0.84%,17,0.15%,7,0.06%,3690,33.51%,26,0.24%
JUNTURA SCHOOL DISTRICT 12,53.08,83,1,1.20%,2,2.41%,6,7.23%,,0.00%,16,19.28%,,0.00%,,0.00%,,0.00%,58,69.88%,,0.00%
KLAMATH COUNTY SCHOOL DISTRICT,52.73,37691,83,0.22%,6203,16.46%,1853,4.92%,226,0.60%,13681,36.30%,164,0.44%,55,0.15%,22,0.06%,15321,40.65%,83,0.22%
KLAMATH FALLS CITY SCHOOLS,48.94,19485,66,0.34%,4118,21.13%,1014,5.20%,173,0.89%,8118,41.66%,79,0.41%,37,0.19%,15,0.08%,5800,29.77%,65,0.33%
KNAPPA SCHOOL DISTRICT 4,51.8,2947,6,0.20%,882,29.93%,126,4.28%,24,0.81%,1037,35.19%,16,0.54%,4,0.14%,2,0.07%,847,28.74%,3,0.10%
LA GRANDE SCHOOL DISTRICT 1,49.37,14818,22,0.15%,3421,23.09%,632,4.27%,118,0.80%,5068,34.20%,154,1.04%,14,0.09%,9,0.06%,5357,36.15%,23,0.16%
LAKE OSWEGO SCHOOL DISTRICT 7J,52.3,38054,16,0.04%,15463,40.63%,1888,4.96%,228,0.60%,10592,27.83%,193,0.51%,84,0.22%,13,0.03%,9536,25.06%,41,0.11%
LAKEVIEW SCHOOL DISTRICT 7,53.09,3887,4,0.10%,523,13.46%,164,4.22%,20,0.51%,1325,34.09%,12,0.31%,3,0.08%,,0.00%,1833,47.16%,3,0.08%
LEBANON COMMUNITY SCHOOL DISTRICT 9,50.49,26654,61,0.23%,6049,22.69%,1373,5.15%,193,0.72%,9775,36.67%,197,0.74%,62,0.23%,30,0.11%,8842,33.17%,71,0.27%
LINCOLN COUNTY SCHOOL DISTRICT,55.3,43638,70,0.16%,14590,33.43%,2147,4.92%,311,0.71%,16892,38.71%,146,0.33%,163,0.37%,31,0.07%,9180,21.04%,108,0.25%
LONG CREEK SCHOOL DISTRICT 17,65.7,389,,0.00%,59,15.17%,16,4.11%,2,0.51%,100,25.71%,,0.00%,,0.00%,1,0.26%,210,53.98%,1,0.26%
LOWELL SCHOOL DISTRICT 71,52.07,2223,10,0.45%,600,26.99%,124,5.58%,17,0.76%,763,34.32%,16,0.72%,8,0.36%,1,0.04%,677,30.45%,7,0.31%
MAPLETON SCHOOL DISTRICT 32,56.09,1400,2,0.14%,418,29.86%,69,4.93%,6,0.43%,521,37.21%,14,1.00%,4,0.29%,2,0.14%,359,25.64%,5,0.36%
MARCOLA SCHOOL DISTRICT 79J,54.17,1803,2,0.11%,552,30.62%,74,4.10%,12,0.67%,575,31.89%,12,0.67%,8,0.44%,,0.00%,566,31.39%,2,0.11%
MCDERMITT SCHOOL DISTRICT 51,57.25,36,,0.00%,,0.00%,2,5.56%,,0.00%,7,19.44%,,0.00%,,0.00%,,0.00%,27,75.00%,,0.00%
MCKENZIE SCHOOL DISTRICT 68,56.89,2149,,0.00%,771,35.88%,109,5.07%,19,0.88%,689,32.06%,24,1.12%,14,0.65%,2,0.09%,516,24.01%,5,0.23%
MCMINNVILLE SCHOOL DISTRICT 40,50.15,31313,63,0.20%,9481,30.28%,1517,4.84%,234,0.75%,11246,35.91%,205,0.65%,58,0.19%,17,0.05%,8422,26.90%,70,0.22%
MEDFORD SCHOOL DISTRICT 549,49.93,73234,126,0.17%,18459,25.21%,3920,5.35%,559,0.76%,27076,36.97%,533,0.73%,149,0.20%,41,0.06%,22211,30.33%,160,0.22%
MILTON-FREEWATER SCHOOL DISTRICT 7,50.15,8142,19,0.23%,1423,17.48%,316,3.88%,52,0.64%,3766,46.25%,86,1.06%,12,0.15%,28,0.34%,2413,29.64%,27,0.33%
MITCHELL SCHOOL DISTRICT 55,58.5,372,,0.00%,80,21.51%,19,5.11%,5,1.34%,95,25.54%,6,1.61%,,0.00%,,0.00%,165,44.35%,2,0.54%
MOLALLA RIVER SCHOOL DISTRICT 35,49.23,16803,34,0.20%,3836,22.83%,692,4.12%,138,0.82%,6018,35.82%,164,0.98%,39,0.23%,8,0.05%,5829,34.69%,45,0.27%
MONROE SCHOOL DISTRICT 1J,52,2541,3,0.12%,671,26.41%,116,4.57%,18,0.71%,804,31.64%,17,0.67%,11,0.43%,2,0.08%,894,35.18%,5,0.20%
MONUMENT SCHOOL DISTRICT 8,61.87,383,,0.00%,72,18.80%,16,4.18%,5,1.31%,116,30.29%,2,0.52%,,0.00%,,0.00%,172,44.91%,,0.00%
MORROW SCHOOL DISTRICT 1,48.84,6694,14,0.21%,1207,18.03%,309,4.62%,42,0.63%,2948,44.04%,44,0.66%,2,0.03%,2,0.03%,2092,31.25%,34,0.51%
MOUNT ANGEL SCHOOL DISTRICT 91,51.48,2728,,0.00%,705,25.84%,120,4.40%,14,0.51%,919,33.69%,13,0.48%,5,0.18%,1,0.04%,949,34.79%,2,0.07%
MYRTLE POINT SCHOOL DISTRICT 41,53.94,4147,17,0.41%,838,20.21%,197,4.75%,28,0.68%,1510,36.41%,23,0.55%,8,0.19%,,0.00%,1517,36.58%,9,0.22%
NEAH-KAH-NIE SCHOOL DISTRICT 56,57.08,7700,15,0.19%,2821,36.64%,350,4.55%,49,0.64%,2645,34.35%,64,0.83%,26,0.34%,4,0.05%,1706,22.16%,20,0.26%
NESTUCCA VALLEY SCHOOL DISTRICT 101J,55.44,4127,9,0.22%,1231,29.83%,200,4.85%,21,0.51%,1434,34.75%,21,0.51%,9,0.22%,,0.00%,1194,28.93%,8,0.19%
NEWBERG SCHOOL DISTRICT 29J,49.64,28428,31,0.11%,7758,27.29%,1405,4.94%,243,0.85%,9454,33.26%,199,0.70%,55,0.19%,14,0.05%,9215,32.42%,54,0.19%
NORTH BEND SCHOOL DISTRICT 13,53.87,13657,27,0.20%,3643,26.67%,649,4.75%,112,0.82%,5054,37.01%,88,0.64%,28,0.21%,6,0.04%,4024,29.46%,26,0.19%
NORTH CLACKAMAS SCHOOL DISTRICT 12,49.03,101363,118,0.12%,37174,36.67%,4438,4.38%,760,0.75%,35251,34.78%,843,0.83%,320,0.32%,115,0.11%,21908,21.61%,436,0.43%
NORTH DOUGLAS SCHOOL DISTRICT 22,52.47,2165,6,0.28%,430,19.86%,98,4.53%,18,0.83%,819,37.83%,20,0.92%,3,0.14%,,0.00%,763,35.24%,8,0.37%
NORTH LAKE SCHOOL DISTRICT 14,56.29,1583,6,0.38%,219,13.83%,86,5.43%,13,0.82%,546,34.49%,7,0.44%,4,0.25%,1,0.06%,695,43.90%,6,0.38%
NORTH MARION SCHOOL DISTRICT 15,49.42,7742,18,0.23%,1937,25.02%,316,4.08%,49,0.63%,2858,36.92%,68,0.88%,14,0.18%,6,0.08%,2461,31.79%,15,0.19%
NORTH POWDER SCHOOL DISTRICT 8J,53.81,699,1,0.14%,107,15.31%,27,3.86%,6,0.86%,235,33.62%,5,0.72%,,0.00%,2,0.29%,316,45.21%,,0.00%
NORTH SANTIAM SCHOOL DISTRICT 29J,51.4,13260,27,0.20%,2798,21.10%,622,4.69%,100,0.75%,4477,33.76%,86,0.65%,19,0.14%,5,0.04%,5096,38.43%,30,0.23%
NORTH WASCO SCHOOL DISTRICT 21,50.45,16698,25,0.15%,4884,29.25%,725,4.34%,147,0.88%,6650,39.83%,163,0.98%,47,0.28%,12,0.07%,3995,23.93%,50,0.30%
NYSSA SCHOOL DISTRICT 26,46.92,3181,7,0.22%,497,15.62%,85,2.67%,17,0.53%,1548,48.66%,7,0.22%,1,0.03%,,0.00%,1016,31.94%,3,0.09%
OAKLAND SCHOOL DISTRICT 1,54.51,2905,11,0.38%,618,21.27%,136,4.68%,18,0.62%,970,33.39%,12,0.41%,7,0.24%,,0.00%,1122,38.62%,11,0.38%
OAKRIDGE SCHOOL DISTRICT 76,54.76,3516,10,0.28%,976,27.76%,179,5.09%,28,0.80%,1410,40.10%,34,0.97%,14,0.40%,3,0.09%,850,24.18%,12,0.34%
ONTARIO SCHOOL DISTRICT 8,48.84,11042,24,0.22%,1790,16.21%,372,3.37%,57,0.52%,5493,49.75%,47,0.43%,13,0.12%,8,0.07%,3201,28.99%,37,0.34%
OREGON CITY SCHOOL DISTRICT 62,49.41,49815,66,0.13%,15802,31.72%,2400,4.82%,398,0.80%,16791,33.71%,447,0.90%,109,0.22%,33,0.07%,13587,27.27%,182,0.37%
OREGON TRAIL SCHOOL DISTRICT 46,50.09,27034,41,0.15%,7389,27.33%,1270,4.70%,215,0.80%,9752,36.07%,268,0.99%,74,0.27%,21,0.08%,7904,29.24%,100,0.37%
PAISLEY SCHOOL DISTRICT 11,54.93,412,3,0.73%,61,14.81%,21,5.10%,4,0.97%,110,26.70%,1,0.24%,1,0.24%,1,0.24%,209,50.73%,1,0.24%
PARKROSE SCHOOL DISTRICT 3,48.32,21631,22,0.10%,9191,42.49%,787,3.64%,160,0.74%,7663,35.43%,247,1.14%,99,0.46%,28,0.13%,3196,14.78%,238,1.10%
PENDLETON SCHOOL DISTRICT 16,48.91,17446,32,0.18%,3793,21.74%,818,4.69%,126,0.72%,6859,39.32%,182,1.04%,32,0.18%,10,0.06%,5537,31.74%,57,0.33%
PERRYDALE SCHOOL DISTRICT 21,51.82,828,4,0.48%,168,20.29%,29,3.50%,7,0.85%,216,26.09%,2,0.24%,2,0.24%,,0.00%,398,48.07%,2,0.24%
